,Match_Id,Batsman,batting_team,bowling_team,balls_faced,sixes,fours,runs,strike_rate,dismissal_type
90,503,Yuvraj Singh,Royal Challengers Bangalore,Sunrisers Hyderabad,25,1,2,21,84.0,caught
91,506,Yuvraj Singh,Royal Challengers Bangalore,Kolkata Knight Riders,12,2,1,22,183.33,caught
92,510,Yuvraj Singh,Royal Challengers Bangalore,Chennai Super Kings,24,0,2,25,104.17,caught
93,519,Yuvraj Singh,Delhi Capitals,Chennai Super Kings,6,0,1,9,150.0,caught
94,523,Yuvraj Singh,Delhi Capitals,Rajasthan Royals,17,2,0,27,158.82,caught
95,528,Yuvraj Singh,Delhi Capitals,Kings XI Punjab,39,3,5,54,138.46,caught
96,531,Yuvraj Singh,Delhi Capitals,Sunrisers Hyderabad,13,0,0,9,69.23,caught
97,535,Yuvraj Singh,Delhi Capitals,Kolkata Knight Riders,19,1,2,21,110.53,stumped
98,539,Yuvraj Singh,Delhi Capitals,Mumbai Indians,4,0,0,2,50.0,caught
99,543,Yuvraj Singh,Delhi Capitals,Royal Challengers Bangalore,5,0,0,2,40.0,caught
100,545,Yuvraj Singh,Delhi Capitals,Kolkata Knight Riders,3,0,0,0,0.0,caught
101,553,Yuvraj Singh,Delhi Capitals,Rajasthan Royals,18,0,4,22,122.22,caught
102,556,Yuvraj Singh,Delhi Capitals,Mumbai Indians,44,2,7,57,129.55,caught
103,561,Yuvraj Singh,Delhi Capitals,Sunrisers Hyderabad,7,0,0,2,28.57,caught
104,565,Yuvraj Singh,Delhi Capitals,Chennai Super Kings,28,1,4,32,114.29,caught
105,571,Yuvraj Singh,Delhi Capitals,Royal Challengers Bangalore,7,1,0,11,157.14,caught
106,610,Yuvraj Singh,Sunrisers Hyderabad,Gujarat Lions,14,0,0,5,35.71,caught
107,613,Yuvraj Singh,Sunrisers Hyderabad,Mumbai Indians,23,2,3,39,169.57,hit wicket
108,616,Yuvraj Singh,Sunrisers Hyderabad,Rising Pune Supergiants,21,2,1,23,109.52,caught
109,618,Yuvraj Singh,Sunrisers Hyderabad,Delhi Capitals,8,1,0,8,100.0,caught
110,622,Yuvraj Singh,Sunrisers Hyderabad,Kings XI Punjab,24,3,3,42,175.0,Not Out
111,628,Yuvraj Singh,Sunrisers Hyderabad,Delhi Capitals,11,0,1,10,90.91,bowled
112,631,Yuvraj Singh,Sunrisers Hyderabad,Kolkata Knight Riders,12,2,1,19,158.33,caught
113,634,Yuvraj Singh,Sunrisers Hyderabad,Kolkata Knight Riders,30,1,8,44,146.67,bowled
114,635,Yuvraj Singh,Sunrisers Hyderabad,Gujarat Lions,13,0,1,8,61.54,caught
115,636,Yuvraj Singh,Sunrisers Hyderabad,Royal Challengers Bangalore,23,2,4,38,165.22,caught
116,7895,Yuvraj Singh,Kings XI Punjab,Delhi Capitals,22,0,2,12,54.55,caught
117,7901,Yuvraj Singh,Kings XI Punjab,Royal Challengers Bangalore,4,0,1,4,100.0,bowled
118,7905,Yuvraj Singh,Kings XI Punjab,Chennai Super Kings,13,1,2,20,153.85,caught
119,7915,Yuvraj Singh,Kings XI Punjab,Delhi Capitals,17,0,1,14,82.35,caught
120,7927,Yuvraj Singh,Kings XI Punjab,Mumbai Indians,14,1,0,14,100.0,Not Out
121,7943,Yuvraj Singh,Kings XI Punjab,Mumbai Indians,3,0,0,1,33.33,caught
122,11139,Yuvraj Singh,Mumbai Indians,Delhi Capitals,35,3,5,53,151.43,caught
123,11143,Yuvraj Singh,Mumbai Indians,Royal Challengers Bangalore,12,3,0,23,191.67,caught
124,11145,Yuvraj Singh,Mumbai Indians,Kings XI Punjab,22,0,2,19,86.36,caught
125,11151,Yuvraj Singh,Mumbai Indians,Chennai Super Kings,6,0,0,4,66.67,caught
0,1,DJ Hooda,Sunrisers Hyderabad,Royal Challengers Bangalore,12,1,0,16,133.33,Not Out
1,10,DJ Hooda,Sunrisers Hyderabad,Mumbai Indians,9,0,1,9,100.0,caught
2,14,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,7,1,1,13,185.71,stumped
3,19,DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,10,0,1,12,120.0,caught
4,21,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,4,1,0,9,225.0,Not Out
5,25,DJ Hooda,Sunrisers Hyderabad,Rising Pune Supergiants,10,1,2,19,190.0,Not Out
6,520,DJ Hooda,Rajasthan Royals,Kings XI Punjab,15,3,1,30,200.0,bowled
7,523,DJ Hooda,Rajasthan Royals,Delhi Capitals,25,4,3,54,216.0,caught
8,526,DJ Hooda,Rajasthan Royals,Mumbai Indians,4,2,0,13,325.0,bowled
9,536,DJ Hooda,Rajasthan Royals,Kings XI Punjab,9,2,1,19,211.11,bowled
10,540,DJ Hooda,Rajasthan Royals,Royal Challengers Bangalore,3,0,0,1,33.33,bowled
11,549,DJ Hooda,Rajasthan Royals,Mumbai Indians,2,0,0,1,50.0,caught
12,558,DJ Hooda,Rajasthan Royals,Sunrisers Hyderabad,9,0,0,7,77.78,caught
13,563,DJ Hooda,Rajasthan Royals,Chennai Super Kings,14,0,1,15,107.14,caught
14,574,DJ Hooda,Rajasthan Royals,Royal Challengers Bangalore,14,0,0,11,78.57,caught
15,580,DJ Hooda,Sunrisers Hyderabad,Royal Challengers Bangalore,6,0,1,6,100.0,caught
16,584,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,11,0,0,6,54.55,caught
17,588,DJ Hooda,Sunrisers Hyderabad,Mumbai Indians,9,0,2,17,188.89,Not Out
18,594,DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,5,0,0,5,100.0,Not Out
19,598,DJ Hooda,Sunrisers Hyderabad,Rising Pune Supergiants,9,0,0,1,11.11,caught
20,603,DJ Hooda,Sunrisers Hyderabad,Royal Challengers Bangalore,2,0,0,2,100.0,run out
21,610,DJ Hooda,Sunrisers Hyderabad,Gujarat Lions,12,0,2,18,150.0,caught
22,616,DJ Hooda,Sunrisers Hyderabad,Rising Pune Supergiants,5,2,0,14,280.0,stumped
23,618,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,9,0,1,10,111.11,hit wicket
24,622,DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,22,1,3,34,154.55,caught
25,628,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,1,0,0,1,100.0,Not Out
26,631,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,2,0,0,2,100.0,run out
27,634,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,13,2,0,21,161.54,Not Out
28,635,DJ Hooda,Sunrisers Hyderabad,Gujarat Lions,9,0,0,4,44.44,lbw
29,636,DJ Hooda,Sunrisers Hyderabad,Royal Challengers Bangalore,6,0,0,3,50.0,caught
30,7900,DJ Hooda,Sunrisers Hyderabad,Mumbai Indians,25,1,1,32,128.0,Not Out
31,7903,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,9,0,0,5,55.56,Not Out
32,7909,DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,5,0,0,5,100.0,caught
33,7913,DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,7,0,0,1,14.29,caught
34,7939,DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,11,1,1,21,190.91,Not Out
35,7944,DJ Hooda,Sunrisers Hyderabad,Royal Challengers Bangalore,1,0,0,1,100.0,Not Out
36,7952,DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,19,1,0,20,105.26,caught
37,7953,DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,4,0,0,3,75.0,caught
38,11152,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,11,0,1,10,90.91,caught
39,11310,DJ Hooda,Sunrisers Hyderabad,Mumbai Indians,24,0,1,20,83.33,bowled
40,11313,DJ Hooda,Sunrisers Hyderabad,Kings XI Punjab,3,1,2,14,466.67,Not Out
41,11321,DJ Hooda,Sunrisers Hyderabad,Delhi Capitals,4,0,0,3,75.0,bowled
42,11324,DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,16,0,1,13,81.25,caught
43,11336,DJ Hooda,Sunrisers Hyderabad,Rajasthan Royals,1,0,0,0,0.0,caught
